id,title,release_year,genre,director,cast,budget_million_NPR,revenue_million_NPR,runtime_minutes,language,rating,review_text
37,Numafung,2001,Drama,Nabin Subba,"Anupama Subba, Niwahangwa Limbu, Prem Subba",8,25,108,Nepali,8.35,A story about Limbu culture and a young girl's struggle.
38,Uma,2013,Drama,Tsering Rhitar Sherpa,"Reecha Sharma, Saugat Malla, Mithila Sharma",10,30,140,Nepali,7.3,"Set during the Maoist insurgency, a family drama."
39,Mero Love Story,2016,Romance,Unknown,Unknown,8,20,120,Nepali,6.4,A youthful romantic drama.
40,Facebook,2012,Drama,Unknown,Unknown,5,20,110,Nepali,6.75,Drama exploring social media impact.
41,Death Zone: Cleaning Mount Everest,2018,Documentary,Unknown,20 Nepali climbers,10,30,99,Nepali,7.35,Documentary on Mount Everest cleanup efforts.
42,Dayarani,2024,Drama,Unknown,Unknown,15,35,90,Nepali,8.2,Emotional drama with strong performances.
43,Jump,2023,Thriller,Unknown,Unknown,20,60,100,Nepali,8.55,Thrilling story of supernatural time alteration.
44,Gharjwai,2024,Drama,Unknown,Unknown,18,50,134,Nepali,8.05,A farmer's life and intertwined destinies.
45,Unko Sweater - The Woolen Sweater,2025,Drama,Unknown,"Miruna Magar, Bipin Karki",20,40,125,Nepali,7.9,A touching story of human connections.
46,Desh Dekhi Bidesh,2008,Drama,Narendra Thapa,"Nikhil Upreti, Dilip Rayamajhi, Prerana Sharma",12,40,130,Nepali,6.9,Drama about migration and dreams.
47,Kanchhi,1984,Drama,B.S. Thapa,"Shiv Shrestha, Sushila Raimajhi, Sharmila Shah",8,25,120,Nepali,7.45,Popular drama from the 80s.
48,Pheri Bhetaula,1990,Romance,Phurpa Kshring Gurung,"Manisha Koirala, Ravi Shah, Laxmi Giri",10,30,115,Nepali,6.4,Romantic film starring Manisha Koirala.
49,Kabaddi,2013,Comedy,Ram Babu Gurung,"Dayahang Rai, Saugat Malla",10,50,125,Nepali,7.45,Village love story with humor.
50,Loot,2012,Crime Drama,Nischal Basnet,"Saugat Malla, Dayahang Rai",8,60,120,Nepali,8.1,A heist movie that changed Nepali cinema.
51,Mero Best Friend,2012,Romantic Comedy,Prasanna Poudel,"Saugat Malla, Priyanka Karki",10,30,115,Nepali,6.7,Light-hearted romantic comedy.
52,Junge,2018,Action,Bikash Raj Acharya,"Anmol K.C, Priyanka Karki",18,50,125,Nepali,6.8,Action thriller with intense sequences.
53,Seto Surya,2016,Drama,Yadav Kharel,"Rajesh Hamal, Rekha Thapa",15,45,135,Nepali,7.2,A story about social issues and family values.
54,Darpan Chhaya 2,2017,Romance,Tulsi Ghimire,"Anmol K.C, Samragyee RL Shah",20,55,140,Nepali,6.4,Sequel to the popular romantic drama.
55,Saayad,2012,Drama,Saugat Bista,"Saugat Malla, Nisha Adhikari",8,30,120,Nepali,6.9,Youth drama about friendship and love.
56,Jatrai Jatra,2019,Comedy,Pradeep Bhattarai,"Bipin Karki, Barsha Raut",12,40,110,Nepali,7.05,Comedy about a group of friends and their misadventures.
57,Sunkesari,2018,Horror,Bhusan Dahal,Unknown,10,30,110,Nepali,6.4,Horror film based on local myths.
58,Saili,2019,Drama,Ram Babu Gurung,"Dayahang Rai, Miruna Magar",12,40,120,Nepali,7.75,Drama about struggles of migrant workers.
59,Kalo Pothi,2015,Drama,Min Bahadur Bham,"Dayahang Rai, Khadka Raj Nepali",10,35,110,Nepali,7.95,A story set during Nepal’s civil war.
60,Chhakka Panja 3,2018,Comedy,Deepa Shree Niraula,"Madan Krishna Shrestha, Kedar Ghimire",20,90,145,Nepali,6.6,Third film in the popular comedy series.
